t_s,delta,counts,rpm_raw,rpm_filt
6726.200,53,-178980,26.50,-83.84
6726.300,-299,-179279,-149.50,-96.98
6726.400,-313,-179592,-156.50,-108.88
6726.500,492,-179100,246.00,-37.90
6726.600,-291,-179391,-145.50,-59.42
6726.700,-469,-179860,-234.50,-94.44
6726.800,171,-179689,85.50,-58.45
6726.900,-395,-180084,-197.50,-86.26
6727.000,-349,-180433,-174.50,-103.91
6727.100,58,-180375,29.00,-77.33
6727.200,-307,-180682,-153.50,-92.56
6727.300,-416,-181098,-208.00,-115.65
6727.400,-1,-181099,-0.50,-92.62
6727.500,-73,-181172,-36.50,-81.40
6727.600,-471,-181643,-235.50,-112.22
6727.700,-3,-181646,-1.50,-90.07
